avaliacoes,iteracao,temperatura
599601,599500,69.9987
600101,600000,66.4988
600601,600500,66.4988
601101,601000,66.4988
601601,601500,66.4988
602101,602000,66.4988
602601,602500,66.4988
603101,603000,66.4988
603601,603500,66.4988
604101,604000,66.4988
604601,604500,66.4988
605101,605000,66.4988
605601,605500,66.4988
606101,606000,66.4988
606601,606500,66.4988
607101,607000,66.4988
607601,607500,66.4988
608101,608000,66.4988
608601,608500,66.4988
609101,609000,66.4988
609601,609500,66.4988
610101,610000,63.1738
610601,610500,63.1738
611101,611000,63.1738
611601,611500,63.1738
612101,612000,63.1738
612601,612500,63.1738
613101,613000,63.1738
613601,613500,63.1738
614101,614000,63.1738
614601,614500,63.1738
615101,615000,63.1738
615601,615500,63.1738
616101,616000,63.1738
616601,616500,63.1738
617101,617000,63.1738
617601,617500,63.1738
618101,618000,63.1738
618601,618500,63.1738
619101,619000,63.1738
619601,619500,63.1738
620101,620000,60.0151
620601,620500,60.0151
621101,621000,60.0151
621601,621500,60.0151
622101,622000,60.0151
622601,622500,60.0151
623101,623000,60.0151
623601,623500,60.0151
624101,624000,60.0151
624601,624500,60.0151
625101,625000,60.0151
625601,625500,60.0151
626101,626000,60.0151
626601,626500,60.0151
627101,627000,60.0151
627601,627500,60.0151
628101,628000,60.0151
628601,628500,60.0151
629101,629000,60.0151
629601,629500,60.0151
630101,630000,57.0144
630601,630500,57.0144
631101,631000,57.0144
631601,631500,57.0144
632101,632000,57.0144
632601,632500,57.0144
633101,633000,57.0144
633601,633500,57.0144
634101,634000,57.0144
634601,634500,57.0144
635101,635000,57.0144
635601,635500,57.0144
636101,636000,57.0144
636601,636500,57.0144
637101,637000,57.0144
637601,637500,57.0144
638101,638000,57.0144
638601,638500,57.0144
639101,639000,57.0144
639601,639500,57.0144
640101,640000,54.1637
640601,640500,54.1637
641101,641000,54.1637
641601,641500,54.1637
642101,642000,54.1637
642601,642500,54.1637
643101,643000,54.1637
643601,643500,54.1637
644101,644000,54.1637
644601,644500,54.1637
645101,645000,54.1637
