avaliacoes,iteracao,custo_melhor,custo_medio
56156,572,10069.5715,10309.8163
56254,573,10069.5715,10310.1169
56352,574,10069.5715,10265.4304
56450,575,10069.5715,10312.6242
56548,576,10069.5715,10415.9334
56646,577,10069.5715,10449.1471
56744,578,10069.5715,10546.5313
56842,579,10069.5715,10488.1952
56940,580,10049.8845,10422.3907
57038,581,10049.8845,10417.8306
57136,582,10049.3558,10486.8821
57234,583,10049.3558,10403.9412
57332,584,10049.3558,10419.6716
57430,585,10049.3558,10350.8526
57528,586,10049.3558,10290.2924
57626,587,10049.3558,10214.5840
57724,588,10049.3558,10159.1768
57822,589,10049.3558,10235.0107
57920,590,10049.3558,10248.2717
58018,591,10049.3558,10179.0861
58116,592,10049.3558,10286.4446
58214,593,10049.3558,10304.6127
58312,594,10049.3558,10282.7379
58410,595,10049.3558,10279.6852
58508,596,9937.3356,10300.5955
58606,597,9937.3356,10329.1747
58704,598,9937.3356,10237.7933
58802,599,9937.3356,10302.4293
58900,600,9937.3356,10199.4376
58998,601,9937.3356,10277.4197
59096,602,9937.3356,10363.3452
59194,603,9937.3356,10247.7885
59292,604,9937.3356,10090.2489
59390,605,9937.3356,10056.6721
59488,606,9916.7891,10138.6862
59586,607,9906.4810,10177.6586
59684,608,9906.4810,10149.8597
59782,609,9906.4810,10144.8188
59880,610,9884.0886,10134.2701
59978,611,9884.0886,10154.2838
60076,612,9884.0886,10141.4311
60174,613,9884.0886,10061.8299
60272,614,9884.0886,10096.8483
60370,615,9884.0886,10034.0584
60468,616,9884.0886,10026.0337
60566,617,9884.0886,10044.1663
60664,618,9884.0886,10057.2978
60762,619,9884.0886,10105.8409
60860,620,9884.0886,10062.2023
60958,621,9884.0886,10123.1325
61056,622,9884.0886,10052.0839
61154,623,9884.0886,10077.1867
61252,624,9884.0886,10083.0614
61350,625,9884.0886,10039.5984
61448,626,9884.0886,10078.8288
61546,627,9884.0886,10037.9481
61644,628,9884.0886,10002.9697
61742,629,9884.0886,10075.6389
61840,630,9884.0886,10140.3499
61938,631,9884.0886,10058.5882
62036,632,9884.0886,10081.1878
62134,633,9884.0886,10025.8491
62232,634,9884.0886,10081.6722
62330,635,9884.0886,10082.5330
62428,636,9884.0886,10091.4883
62526,637,9884.0886,10044.5460
62624,638,9884.0886,10046.2982
62722,639,9884.0886,10086.5054
62820,640,9884.0886,10143.2609
62918,641,9884.0886,10037.1703
63016,642,9884.0886,10119.3253
63114,643,9884.0886,10103.7466
63212,644,9876.8206,10068.6055
63310,645,9876.8206,10102.9364
63408,646,9876.8206,10024.0484
63506,647,9876.8206,10073.5033
63604,648,9876.8206,10085.0797
63702,649,9876.8206,10031.3611
63800,650,9876.8206,9994.2641
63898,651,9826.9516,10051.2919
63996,652,9826.9516,10080.1061
64094,653,9826.9516,10234.6567
64192,654,9826.9516,10230.0948
64290,655,9826.9516,10317.3874
64388,656,9826.9516,10373.5056
64486,657,9826.9516,10323.6613
64584,658,9826.9516,10370.5323
64682,659,9801.4536,10228.9972
64780,660,9801.4536,10260.8326
64878,661,9801.4536,10281.9944
64976,662,9801.4536,10114.7871
65074,663,9801.4536,10169.0857
65172,664,9801.4536,10137.5863
65270,665,9769.9097,10165.3523
65368,666,9769.9097,10024.7584
65466,667,9769.9097,10110.0165
65564,668,9769.9097,10111.9410
65662,669,9769.9097,10134.3256
65760,670,9769.9097,10182.4574
65858,671,9769.9097,10167.3964
65956,672,9718.8508,10357.6242
66054,673,9688.0843,10293.9075
66152,674,9688.0843,10277.4310
66250,675,9688.0843,10317.2545
66348,676,9688.0843,10454.4651
66446,677,9688.0843,10331.6939
66544,678,9688.0843,10249.6810
66642,679,9688.0843,10134.2370
66740,680,9688.0843,10169.8717
66838,681,9688.0843,10279.8422
66936,682,9688.0843,10137.7931
67034,683,9688.0843,10296.4377
67132,684,9688.0843,10285.7132
67230,685,9675.2107,10244.1747
67328,686,9675.2107,10221.9362
67426,687,9675.2107,10212.0716
67524,688,9675.2107,10358.3370
67622,689,9675.2107,10379.8295
67720,690,9675.2107,10473.6727
67818,691,9675.2107,10552.0480
67916,692,9675.2107,10227.8631
68014,693,9666.5151,10191.2245
68112,694,9666.5151,10087.5394
68210,695,9666.5151,10103.3035
68308,696,9666.5151,9941.0659
68406,697,9666.5151,9943.2221
68504,698,9666.5151,9925.3978
68602,699,9666.5151,10000.5487
68700,700,9666.5151,9832.0651
68798,701,9666.5151,9766.5824
68896,702,9666.5151,9847.9780
68994,703,9666.5151,9791.4582
69092,704,9666.5151,9824.0676
69190,705,9666.5151,9875.1397
69288,706,9666.5151,9781.7504
69386,707,9666.5151,9810.3591
69484,708,9634.9712,9761.6137
69582,709,9634.9712,9880.4321
69680,710,9634.9712,9943.4684
69778,711,9634.9712,10046.5331
69876,712,9634.9712,10108.0781
69974,713,9634.9712,10104.8176
70072,714,9634.9712,10283.4074
